participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.075,right,left,FALSE,left,1.1500112999997327,FALSE
001,0.025,left,right,FALSE,right,1.046135200000208,FALSE
001,0.0625,right,right,TRUE,right,1.6399372999999287,TRUE
001,0.0375,left,left,TRUE,left,1.152019399999972,TRUE
001,0.0625,left,right,FALSE,left,0.7857214000000567,TRUE
001,0.0125,left,left,TRUE,left,1.0798433999998451,TRUE
001,0.0375,left,left,TRUE,left,0.776151199999731,TRUE
001,0.0375,left,right,FALSE,left,0.983339899999919,TRUE
001,0.05,left,left,TRUE,left,0.9328013999993345,TRUE
001,0.025,left,right,FALSE,right,0.9546269000002212,FALSE
001,0.05,right,left,FALSE,left,0.5104345999998259,FALSE
001,0.075,right,left,FALSE,right,1.14572920000046,TRUE
001,0.0625,left,left,TRUE,left,0.8580357000000731,TRUE
001,0.075,left,left,TRUE,right,0.8641858000000866,FALSE
001,0.0625,left,left,TRUE,left,0.848428100000092,TRUE
001,0.0125,right,left,FALSE,left,0.860717300000033,FALSE
001,0.075,left,left,TRUE,left,1.3812041999999565,TRUE
001,0.05,right,left,FALSE,right,0.9624864999996134,TRUE
001,0.0125,left,left,TRUE,left,0.950641700000233,TRUE
001,0.0375,right,left,FALSE,left,0.9048087000001033,FALSE
001,0.0625,right,right,TRUE,left,1.0636384999997972,FALSE
001,0.025,left,right,FALSE,right,1.3394430999996985,FALSE
001,0.05,left,right,FALSE,left,1.2582064999996874,TRUE
001,0.0125,left,left,TRUE,left,1.0339816999994582,TRUE
001,0.075,right,left,FALSE,right,1.067658400000255,TRUE
001,0.0625,left,left,TRUE,left,1.3003001999995831,TRUE
001,0.075,right,left,FALSE,right,0.9302349999998114,TRUE
001,0.05,right,right,TRUE,left,1.1276997000004485,FALSE
001,0.0375,left,right,FALSE,right,1.1867087000000538,FALSE
001,0.075,left,right,FALSE,left,1.0954710000005434,TRUE
001,0.025,right,right,TRUE,left,0.8974794999994629,FALSE
