participant,soa,prime_presence,answer,rt,accuracy
001,0.075,absent,absent,0.4178882999999587,TRUE
001,0.075,present,present,0.2284604000001309,TRUE
001,0.025,present,present,0.2597398999998859,TRUE
001,0.025,absent,absent,0.4691832000000886,TRUE
001,0.0125,present,present,0.851590700000088,TRUE
001,0.0625,present,present,0.49779549999993833,TRUE
001,0.025,absent,present,0.5965158999999858,FALSE
001,0.025,present,absent,1.2197479999999814,FALSE
001,0.0125,absent,absent,0.5638885000000755,TRUE
001,0.025,present,present,0.2737953999999263,TRUE
001,0.075,present,present,0.2440518000000793,TRUE
001,0.0125,present,present,0.2586820000001353,TRUE
001,0.025,present,present,0.14594940000006318,TRUE
001,0.0625,present,present,1.3300071000001026,TRUE
001,0.0375,absent,absent,0.33913970000003246,TRUE
001,0.075,absent,absent,0.8842300999999679,TRUE
001,0.0375,present,present,0.32314629999996214,TRUE
001,0.05,absent,absent,0.3726915999998255,TRUE
001,0.075,present,present,0.292282699999987,TRUE
001,0.025,present,present,0.25888110000005327,TRUE
001,0.0625,absent,absent,1.327392300000156,TRUE
001,0.0375,present,present,0.45336569999994936,TRUE
001,0.05,absent,absent,1.4444437999998172,TRUE
001,0.05,present,present,0.3062166999998226,TRUE
001,0.05,absent,absent,0.36981869999999617,TRUE
001,0.025,present,present,0.2907481000002008,TRUE
001,0.025,absent,absent,0.32298820000005435,TRUE
001,0.075,present,present,0.2762303999998039,TRUE
001,0.075,present,present,1.2053158999997322,TRUE
001,0.0125,present,present,0.3544958000002225,TRUE
001,0.075,present,present,0.9163554000001568,TRUE
001,0.0625,present,present,0.9146947999997792,TRUE
001,0.05,present,present,0.3886944000000767,TRUE
001,0.0375,absent,absent,0.2902881999998499,TRUE
001,0.0125,absent,absent,0.3713745000000017,TRUE
001,0.0125,present,present,0.21117309999999634,TRUE
001,0.025,present,present,0.193734399999812,TRUE
001,0.0125,absent,absent,0.5318520000000717,TRUE
001,0.0125,present,present,1.6818855999999869,TRUE
001,0.0125,present,present,0.2893250000001899,TRUE
001,0.025,absent,absent,0.30758940000032453,TRUE
001,0.025,present,present,0.2110063000000082,TRUE
001,0.0625,present,absent,0.3412954999998874,FALSE
001,0.0625,present,present,0.5809177000001,TRUE
001,0.05,present,present,0.4834313999999722,TRUE
001,0.0375,present,absent,0.08481160000019372,FALSE
001,0.025,absent,absent,0.4032782999997835,TRUE
001,0.0375,present,absent,0.35369630000013785,FALSE
001,0.075,present,present,0.4190954000000602,TRUE
001,0.0125,present,absent,0.13098179999997228,FALSE
001,0.0625,present,present,1.3435364000001755,TRUE
001,0.0625,absent,absent,0.821144699999877,TRUE
001,0.0375,present,present,0.37032159999989744,TRUE
001,0.0125,absent,absent,1.812381500000356,TRUE
001,0.0625,present,present,1.0435551000000487,TRUE
001,0.0625,present,present,0.30695550000018557,TRUE
001,0.0375,absent,absent,0.7291497999999592,TRUE
001,0.0375,absent,absent,0.5133165999995981,TRUE
001,0.0625,absent,absent,0.3068260999998529,TRUE
001,0.0125,present,absent,3.2825987999999597,FALSE
001,0.075,absent,absent,0.28946989999985817,TRUE
001,0.05,present,present,0.27521519999982047,TRUE
001,0.075,absent,absent,0.2413243999999395,TRUE
001,0.05,absent,absent,0.28060069999992265,TRUE
001,0.075,present,present,0.22598809999999503,TRUE
001,0.0125,absent,absent,0.21292049999965457,TRUE
001,0.075,absent,absent,0.29101600000012695,TRUE
001,0.0125,present,present,0.24243049999995492,TRUE
001,0.025,present,absent,0.6907159000002139,FALSE
001,0.0375,present,present,0.7410847999999532,TRUE
001,0.0625,present,present,0.7860900000000584,TRUE
001,0.075,present,present,0.25994749999972555,TRUE
001,0.025,present,present,0.4513864000000467,TRUE
001,0.0125,present,present,0.27646599999980026,TRUE
001,0.0375,present,absent,0.2284858000002714,FALSE
001,0.05,present,present,0.5788251000003584,TRUE
001,0.0625,present,present,0.5151852999997573,TRUE
001,0.0625,present,present,0.6739050000001043,TRUE
001,0.075,present,present,2.643971899999997,TRUE
001,0.0625,present,present,0.4825737000001027,TRUE
001,0.0375,absent,absent,0.5458084000001691,TRUE
001,0.0125,present,absent,0.2897008999998434,FALSE
001,0.0625,present,present,0.38683240000000296,TRUE
001,0.05,present,present,0.5771915999998782,TRUE
001,0.05,present,absent,0.16138749999981883,FALSE
001,0.0375,present,present,0.385353799999848,TRUE
001,0.0125,absent,absent,1.0737608000004002,TRUE
001,0.0125,present,present,0.27643140000009225,TRUE
001,0.0625,present,present,1.097483900000043,TRUE
001,0.075,present,present,0.7056078000000525,TRUE
001,0.05,absent,absent,0.24248450000004595,TRUE
001,0.075,absent,absent,0.27323859999978595,TRUE
001,0.0625,present,present,0.26085269999975935,TRUE
001,0.0125,present,absent,0.4822822000000997,FALSE
001,0.0375,absent,absent,0.18116900000040914,TRUE
001,0.0125,absent,absent,1.2945258000004287,TRUE
001,0.05,present,present,0.3859889000000294,TRUE
001,0.075,present,present,0.5807054000001699,TRUE
001,0.05,present,present,0.40275259999998525,TRUE
001,0.025,present,absent,0.9324767000002794,FALSE
001,0.0625,present,present,0.25752920000013546,TRUE
001,0.075,present,present,0.06860109999979613,TRUE
001,0.0125,absent,absent,0.19588659999999436,TRUE
001,0.075,present,absent,0.14561970000022484,FALSE
001,0.025,present,absent,0.7225929999999607,FALSE
001,0.075,present,present,0.29106580000006943,TRUE
001,0.05,absent,absent,0.2593304000001808,TRUE
001,0.0125,present,present,0.6107655999999224,TRUE
001,0.0625,absent,absent,0.611134900000252,TRUE
001,0.05,present,present,1.1886767000000873,TRUE
001,0.05,absent,absent,0.2754901999996946,TRUE
001,0.0125,absent,absent,1.8095751999999266,TRUE
001,0.025,absent,absent,0.5303294999998798,TRUE
001,0.025,absent,absent,0.37089030000015555,TRUE
001,0.0125,present,present,0.724637299999813,TRUE
001,0.0125,absent,absent,0.29001219999963723,TRUE
001,0.0125,present,present,0.2289387999999235,TRUE
001,0.025,absent,absent,0.3075599999997394,TRUE
001,0.0375,present,present,1.6769180999999662,TRUE
001,0.075,present,present,0.5948700999997527,TRUE
001,0.025,present,present,0.4355636999998751,TRUE
001,0.025,absent,absent,0.3733081000000311,TRUE
001,0.025,present,absent,0.3708965000000717,FALSE
001,0.0625,present,present,0.24181580000004033,TRUE
001,0.05,present,present,0.28946270000005825,TRUE
001,0.0625,present,present,0.06817980000005264,TRUE
001,0.0125,absent,absent,0.37264790000017456,TRUE
001,0.0375,present,present,0.19623689999980343,TRUE
001,0.0375,absent,absent,0.81180170000016,TRUE
001,0.05,present,present,0.20967919999975493,TRUE
001,0.0375,present,present,0.3092803000004096,TRUE
001,0.0125,present,absent,0.27538559999993595,FALSE
001,0.025,absent,absent,0.09947890000012194,TRUE
001,0.05,absent,absent,0.48782200000005105,TRUE
