participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.075,right,left,FALSE,left,0.327509000000191,TRUE
001,0.0125,left,right,FALSE,right,0.3008887999999388,TRUE
001,0.05,right,left,FALSE,left,0.3701132000001053,TRUE
001,0.0125,right,right,TRUE,right,0.3770801999999094,TRUE
001,0.0125,right,right,TRUE,right,0.31078270000034536,TRUE
001,0.075,left,left,TRUE,left,0.2689297000001716,TRUE
001,0.025,right,left,FALSE,left,0.37708210000027975,TRUE
001,0.025,left,right,FALSE,right,0.3961749999998574,TRUE
001,0.0625,right,right,TRUE,right,0.2832165999998324,TRUE
001,0.05,right,right,TRUE,right,0.42457039999999324,TRUE
001,0.0625,right,right,TRUE,right,0.20228300000007948,TRUE
001,0.0375,left,left,TRUE,left,0.26549470000009023,TRUE
001,0.05,right,right,TRUE,right,0.2414441999999326,TRUE
001,0.0375,right,left,FALSE,left,0.37018559999978606,TRUE
001,0.0125,left,right,FALSE,right,0.35083099999974365,TRUE
001,0.0375,left,right,FALSE,right,0.3064663999998629,TRUE
001,0.025,left,left,TRUE,left,0.4318413999999393,TRUE
001,0.0125,right,left,FALSE,left,0.255768199999693,TRUE
001,0.05,left,right,FALSE,right,0.39313609999999244,TRUE
001,0.0125,left,right,FALSE,right,0.5670924000000923,TRUE
001,0.025,right,right,TRUE,right,0.2794314000002487,TRUE
001,0.05,right,right,TRUE,right,0.3572653999999602,TRUE
001,0.075,left,left,TRUE,left,0.24982870000030744,TRUE
001,0.0375,left,left,TRUE,left,0.2043668000001162,TRUE
001,0.0375,right,right,TRUE,right,0.4059404999998151,TRUE
001,0.0375,right,right,TRUE,right,0.3087063000002672,TRUE
001,0.075,right,left,FALSE,left,0.4454708000002938,TRUE
001,0.0375,right,right,TRUE,right,0.32509650000019974,TRUE
001,0.025,right,left,FALSE,left,0.3415644000001521,TRUE
001,0.0375,left,left,TRUE,left,0.2864020000001801,TRUE
001,0.0625,left,left,TRUE,left,0.32410399999980655,TRUE
001,0.025,left,right,FALSE,right,0.38794559999996636,TRUE
001,0.0625,right,left,FALSE,left,0.3970542000001842,TRUE
001,0.0625,left,right,FALSE,right,0.32785950000015873,TRUE
001,0.025,right,right,TRUE,right,0.37896079999973153,TRUE
001,0.025,right,left,FALSE,left,0.25353880000011486,TRUE
001,0.075,left,left,TRUE,left,0.23899159999973563,TRUE
001,0.05,left,left,TRUE,left,0.3408849999996164,TRUE
001,0.0125,right,right,TRUE,right,0.4250637000000097,TRUE
001,0.025,left,left,TRUE,left,0.3876301999998759,TRUE
001,0.025,left,right,FALSE,right,0.2575042999997095,TRUE
001,0.0125,right,left,FALSE,left,0.23795539999991888,TRUE
001,0.025,right,right,TRUE,right,0.2942016000001786,TRUE
001,0.0375,left,right,FALSE,right,0.38540740000007645,TRUE
001,0.05,left,left,TRUE,left,0.2604722999999467,TRUE
001,0.0375,left,left,TRUE,left,0.22407370000019,TRUE
001,0.0125,left,left,TRUE,left,0.25172420000035345,TRUE
001,0.0375,left,right,FALSE,right,0.37647160000005897,TRUE
001,0.025,right,right,TRUE,right,0.27598760000000766,TRUE
001,0.0375,right,left,FALSE,left,0.4202393000000484,TRUE
001,0.05,right,left,FALSE,left,0.36211699999967095,TRUE
001,0.05,right,right,TRUE,right,0.33521539999992456,TRUE
001,0.0625,right,right,TRUE,right,0.2046374999999898,TRUE
001,0.075,right,right,TRUE,right,0.3820076000001791,TRUE
001,0.0125,left,left,TRUE,left,0.47700799999984156,TRUE
001,0.075,right,right,TRUE,right,0.26411600000028557,TRUE
001,0.075,left,right,FALSE,right,0.4290478999996594,TRUE
001,0.05,left,left,TRUE,left,0.2735041999999339,TRUE
001,0.025,left,right,FALSE,right,0.34305559999984325,TRUE
001,0.075,right,right,TRUE,right,0.22994770000013887,TRUE
001,0.0375,left,left,TRUE,left,0.33582069999965825,TRUE
001,0.05,left,left,TRUE,left,0.32435290000012174,TRUE
001,0.075,right,right,TRUE,right,0.3034781000001203,TRUE
001,0.075,right,left,FALSE,left,0.5536086000001887,TRUE
001,0.0125,left,right,FALSE,right,0.4366746000000603,TRUE
001,0.025,left,right,FALSE,right,0.3972214000000349,TRUE
001,0.025,left,left,TRUE,left,0.24320339999985663,TRUE
001,0.0375,left,right,FALSE,right,0.3473868000000948,TRUE
001,0.025,right,right,TRUE,right,0.3149737999997342,TRUE
001,0.0125,left,left,TRUE,left,0.27325939999991533,TRUE
